student,weak_knowledge
338,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 15, 16, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 39, 41, 42, 44, 45, 47, 49, 51, 53, 54, 56, 57, 58, 59, 60, 61, 62, 66, 67, 68, 69, 72, 73, 75, 76, 78, 79, 81, 82, 83, 85, 88, 89, 90, 91, 92, 93, 96, 98, 101]"
339,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37, 38, 39, 41, 42, 44, 45, 46, 47, 48, 50, 51, 52, 54, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 75, 77, 78, 79, 80, 82, 83, 84, 85, 86, 87, 88, 89, 91, 95, 98, 99]"
340,"[1, 2, 4, 6, 8, 9, 11, 12, 13, 14, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 29, 31, 32, 33, 34, 35, 36, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 61, 62, 65, 66, 67, 71, 72, 73, 74, 75, 76, 78, 80, 81, 83, 85, 86, 87, 91, 92, 94, 95, 98, 101]"
341,"[2, 7, 9, 16, 18, 20, 21, 22, 23, 26, 32, 33, 35, 36, 41, 44, 45, 46, 59, 65, 68, 81, 82, 83, 86, 87, 88, 90, 94, 95, 96, 97, 98, 99, 100]"
342,"[1, 9, 10, 11, 16, 17, 18, 19, 22, 23, 25, 26, 27, 28, 31, 32, 38, 39, 40, 41, 42, 43, 44, 46, 50, 53, 54, 56, 58, 59, 60, 62, 65, 66, 67, 75, 76, 77, 79, 81, 83, 85, 86, 87, 88, 89, 90, 91, 92, 94, 97, 98, 99, 101]"
343,"[1, 4, 5, 6, 8, 9, 11, 13, 14, 21, 22, 23, 28, 29, 30, 32, 33, 34, 35, 37, 38, 40, 41, 43, 47, 48, 51, 54, 56, 59, 60, 61, 63, 67, 68, 69, 72, 73, 74, 75, 76, 77, 78, 79, 80, 83, 84, 85, 89, 91, 92, 94, 96, 97, 98, 99, 100]"
344,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 34, 35, 36, 38, 40, 41, 42, 43, 44, 47, 48, 49, 53, 54, 55, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 72, 73, 74, 76, 78, 79, 80, 81, 82, 83, 87, 88, 89, 91, 93, 95, 96, 97, 99, 101]"
345,"[1, 2, 12, 16, 17, 18, 19, 20, 21, 25, 26, 31, 36, 41, 42, 45, 47, 48, 50, 52, 53, 59, 63, 64, 66, 67, 68, 71, 76, 78, 79, 80, 83, 85, 87, 89, 91, 92, 94, 99, 100, 101]"
346,"[1, 4, 5, 7, 10, 14, 16, 17, 18, 19, 20, 21, 22, 25, 27, 28, 30, 31, 34, 36, 38, 41, 42, 44, 49, 51, 53, 54, 59, 60, 63, 65, 66, 67, 69, 72, 73, 74, 78, 81, 82, 84, 86, 87, 89, 90, 91, 93, 94, 96, 97, 99, 100, 101]"
347,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 76, 77, 79, 80, 81, 82, 84, 86, 87, 88, 89, 90, 91, 92, 94, 95, 96, 97, 98, 99, 100, 101]"
348,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 15, 18, 21, 22, 23, 25, 26, 28, 29, 31, 32, 33, 34, 36, 37, 38, 39, 40, 42, 43, 44, 45, 47, 50, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 68, 69, 71, 72, 74, 75, 76, 77, 78, 79, 81, 82, 83, 84, 86, 87, 89, 91, 92, 93, 94, 96, 97, 99, 100]"
349,"[1, 2, 4, 5, 7, 8, 10, 13, 16, 18, 20, 21, 22, 23, 25, 27, 28, 29, 31, 32, 33, 34, 35, 36, 38, 39, 40, 41, 45, 46, 49, 50, 51, 52, 53, 55, 56, 57, 59, 60, 62, 63, 65, 66, 69, 70, 71, 72, 73, 74, 75, 76, 77, 79, 81, 83, 86, 87, 89, 90, 91, 92, 94, 96, 97, 99, 100, 101]"
350,"[1, 2, 3, 4, 5, 7, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 29, 31, 32, 33, 35, 37, 39, 40, 41, 43, 48, 50, 51, 52, 54, 56, 57, 59, 62, 63, 64, 65, 66, 69, 74, 76, 77, 78, 79, 80, 82, 83, 85, 87, 88, 89, 91, 92, 93, 94, 95, 96, 99, 101]"
351,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 48, 49, 50, 51, 52, 54, 56, 57, 59, 60, 61, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 75, 76, 77, 78, 80, 81, 83, 84, 85, 86, 87, 89, 90, 91, 92, 93, 95, 98, 99, 100]"
352,"[2, 4, 7, 9, 10, 12, 13, 17, 21, 22, 23, 26, 28, 29, 30, 31, 32, 35, 36, 38, 40, 41, 46, 47, 49, 51, 53, 54, 56, 64, 66, 68, 70, 73, 75, 78, 79, 80, 82, 83, 84, 85, 87, 88, 89, 90, 92, 93, 96, 97, 98, 99, 100, 101]"
353,"[2, 3, 4, 5, 6, 10, 13, 14, 15, 16, 17, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 31, 33, 35, 36, 37, 44, 45, 46, 47, 48, 52, 54, 55, 56, 57, 58, 59, 61, 62, 63, 64, 65, 67, 68, 70, 71, 72, 73, 74, 75, 76, 77, 79, 80, 81, 82, 83, 85, 86, 87, 88, 90, 92, 93, 94, 97, 99, 100]"
354,"[1, 2, 3, 4, 5, 6, 7, 11, 12, 13, 14, 15, 19, 20, 21, 22, 24, 25, 27, 29, 30, 31, 32, 33, 34, 35, 36, 38, 39, 42, 44, 45, 46, 47, 49, 51, 53, 54, 55, 57, 58, 59, 60, 61, 64, 65, 66, 67, 68, 69, 70, 71, 72, 74, 75, 77, 78, 79, 80, 81, 82, 84, 85, 86, 87, 88, 89, 90, 93, 95, 96, 97, 98, 99, 100, 101]"
355,"[1, 2, 3, 4, 7, 8, 9, 11, 12, 13, 14, 15, 17, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 33, 34, 35, 36, 38, 39, 41, 44, 46, 48, 49, 51, 53, 54, 56, 57, 59, 61, 63, 64, 65, 68, 69, 71, 74, 76, 78, 79, 80, 84, 85, 87, 88, 89, 90, 92, 94, 95, 96, 97, 98, 99, 100]"
356,"[5, 6, 7, 10, 11, 13, 16, 17, 18, 20, 22, 26, 28, 33, 34, 35, 38, 40, 41, 43, 46, 49, 55, 56, 57, 60, 62, 65, 66, 67, 69, 70, 71, 73, 74, 76, 79, 81, 82, 84, 85, 86, 87, 88, 89, 91, 94, 96, 98, 99, 100, 101]"
357,"[1, 2, 3, 4, 7, 8, 9, 10, 11, 14, 16, 17, 18, 20, 24, 25, 26, 30, 31, 32, 33, 36, 39, 45, 47, 48, 49, 50, 51, 52, 53, 54, 56, 57, 58, 61, 62, 63, 65, 66, 68, 69, 70, 71, 72, 73, 74, 75, 76, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 92, 94, 96, 97, 99]"
358,"[1, 3, 5, 6, 10, 13, 14, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 31, 32, 34, 37, 39, 40, 41, 42, 44, 45, 46, 47, 50, 51, 54, 55, 57, 61, 62, 63, 65, 68, 70, 71, 72, 73, 74, 76, 78, 79, 80, 81, 82, 84, 85, 88, 89, 90, 91, 92, 94, 95, 96, 97, 98, 99, 100, 101]"
359,"[2, 3, 4, 5, 6, 7, 8, 12, 13, 15, 16, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 36, 38, 39, 40, 41, 43, 44, 45, 46, 47, 49, 51, 53, 54, 57, 58, 60, 61, 65, 67, 69, 71, 72, 73, 75, 76, 77, 78, 80, 81, 82, 83, 84, 86, 89, 90, 93, 94, 95, 96, 97, 99, 100, 101]"
360,"[3, 5, 7, 9, 11, 13, 15, 16, 17, 19, 20, 22, 25, 26, 27, 29, 31, 32, 33, 34, 35, 36, 37, 38, 39, 41, 42, 43, 45, 46, 48, 51, 52, 53, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 70, 71, 73, 74, 76, 78, 80, 81, 83, 84, 85, 88, 89, 90, 92, 93, 95, 96, 97, 98, 101]"
361,"[1, 2, 3, 4, 5, 6, 8, 9, 11, 13, 14, 16, 17, 18, 20, 21, 22, 24, 25, 27, 28, 29, 30, 32, 36, 37, 38, 42, 44, 46, 47, 50, 51, 52, 53, 57, 58, 64, 65, 67, 72, 73, 74, 75, 80, 81, 82, 83, 84, 85, 88, 92, 93, 94, 95, 96, 97, 99, 101]"
362,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 18, 19, 20, 21, 22, 23, 24, 26, 27, 29, 31, 32, 33, 34, 35, 36, 37, 39, 40, 44, 45, 46, 47, 48, 49, 50, 51, 52, 54, 55, 58, 59, 61, 62, 63, 65, 66, 67, 68, 69, 71, 72, 73, 76, 78, 79, 80, 82, 83, 85, 86, 87, 89, 90, 92, 94, 97, 98, 100, 101]"
363,"[2, 4, 9, 10, 11, 13, 19, 20, 21, 22, 23, 26, 28, 31, 33, 37, 41, 43, 48, 49, 50, 56, 60, 66, 73, 74, 75, 76, 78, 79, 80, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 94, 96, 97, 98, 99, 100]"
364,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 17, 18, 19, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 37, 38, 39, 40, 41, 42, 43, 45, 46, 47, 48, 50, 51, 52, 53, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 87, 88, 89, 90, 91, 92, 93, 94, 95, 97, 98, 100, 101]"
365,"[3, 4, 5, 6, 7, 8, 10, 11, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 35, 36, 37, 39, 43, 45, 46, 47, 50, 51, 53, 54, 55, 56, 58, 59, 62, 64, 65, 66, 67, 69, 71, 72, 76, 80, 81, 82, 83, 84, 85, 89, 90, 92, 93, 95, 96, 97, 98, 100, 101]"
366,"[1, 2, 4, 6, 7, 9, 10, 11, 12, 13, 17, 18, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 36, 37, 38, 39, 43, 44, 45, 47, 48, 49, 50, 51, 52, 55, 56, 57, 58, 59, 60, 61, 62, 64, 65, 68, 69, 70, 71, 72, 73, 75, 77, 80, 81, 82, 84, 87, 88, 89, 90, 91, 92, 94, 95, 96, 97, 98]"
367,"[2, 3, 4, 5, 9, 10, 11, 12, 13, 15, 16, 17, 19, 20, 21, 22, 23, 24, 28, 30, 31, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 46, 48, 51, 54, 55, 56, 57, 58, 59, 60, 63, 65, 66, 68, 70, 71, 72, 73, 74, 76, 78, 79, 80, 81, 83, 84, 85, 87, 90, 92, 94, 95, 97, 98, 99, 100]"
368,"[1, 3, 4, 7, 9, 10, 12, 13, 15, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 48, 49, 50, 51, 52, 57, 58, 59, 60, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 73, 75, 77, 78, 79, 80, 81, 82, 83, 86, 87, 89, 90, 91, 93, 94, 95, 96, 98, 99, 100, 101]"
369,"[1, 4, 5, 7, 9, 13, 17, 18, 22, 28, 29, 35, 38, 40, 41, 43, 45, 48, 49, 50, 53, 54, 55, 57, 58, 62, 63, 65, 68, 71, 76, 78, 80, 81, 82, 84, 88, 89, 90, 91, 94, 95, 97, 99, 100, 101]"
370,"[1, 2, 7, 9, 12, 13, 14, 17, 18, 19, 20, 21, 24, 27, 29, 30, 31, 34, 36, 42, 44, 47, 49, 50, 51, 52, 53, 54, 59, 61, 63, 64, 65, 67, 68, 70, 71, 72, 73, 74, 75, 77, 78, 79, 80, 81, 83, 84, 87, 89, 90, 91, 93, 94, 95, 97, 98, 101]"
371,"[1, 2, 7, 10, 11, 14, 16, 17, 18, 20, 21, 22, 24, 28, 41, 44, 47, 50, 51, 55, 59, 61, 65, 66, 71, 73, 74, 76, 79, 82, 83, 86, 87, 88, 89, 90, 92, 93, 94, 98, 100]"
372,"[1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 23, 24, 26, 28, 30, 31, 32, 33, 34, 35, 37, 39, 43, 44, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 60, 61, 63, 64, 65, 66, 67, 69, 70, 71, 72, 74, 75, 79, 81, 83, 85, 87, 88, 89, 90, 92, 93, 94, 98, 99, 100, 101]"
373,"[1, 2, 3, 4, 5, 7, 8, 10, 12, 13, 14, 16, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 35, 36, 38, 39, 40, 42, 43, 44, 45, 46, 47, 48, 49, 50, 53, 54, 56, 59, 60, 62, 64, 69, 71, 72, 74, 75, 76, 77, 78, 80, 81, 82, 83, 84, 85, 86, 87, 89, 91, 93, 96, 98, 99, 100, 101]"
374,"[3, 4, 5, 6, 8, 12, 13, 14, 17, 18, 20, 22, 23, 24, 26, 28, 30, 32, 35, 36, 37, 41, 42, 44, 46, 48, 49, 54, 55, 57, 61, 62, 64, 65, 67, 68, 69, 70, 71, 75, 76, 78, 81, 85, 86, 87, 88, 90, 91, 94, 95, 98, 99, 100]"
375,"[2, 7, 9, 10, 12, 14, 16, 17, 20, 21, 22, 23, 25, 26, 27, 28, 29, 31, 35, 36, 38, 39, 40, 42, 44, 46, 48, 50, 52, 54, 55, 56, 57, 59, 60, 62, 63, 64, 66, 70, 71, 76, 78, 79, 81, 82, 83, 84, 86, 87, 88, 89, 91, 93, 98, 99, 100, 101]"
376,"[1, 5, 7, 10, 13, 16, 17, 18, 20, 22, 23, 28, 32, 36, 38, 39, 48, 49, 52, 53, 56, 57, 58, 59, 62, 65, 67, 70, 74, 76, 78, 79, 80, 81, 83, 86, 87, 88, 89, 90, 92, 93, 95, 96, 97, 99, 100, 101]"
377,"[1, 3, 4, 6, 7, 8, 9, 11, 12, 14, 15, 18, 19, 20, 21, 22, 23, 26, 28, 30, 31, 32, 33, 34, 36, 37, 38, 39, 41, 42, 43, 48, 49, 51, 52, 53, 54, 57, 60, 62, 63, 64, 65, 66, 67, 68, 70, 71, 72, 73, 74, 78, 79, 80, 82, 84, 85, 87, 88, 89, 92, 95, 96, 97, 98, 99, 100, 101]"
378,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 52, 53, 54, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 91, 92, 93, 94, 95, 96, 97, 98, 100, 101]"
379,"[1, 2, 7, 16, 18, 19, 20, 23, 24, 25, 27, 28, 30, 31, 34, 37, 42, 44, 48, 53, 54, 60, 63, 65, 67, 68, 70, 76, 78, 80, 81, 83, 84, 85, 87, 89, 90, 92, 93, 95, 97, 100, 101]"
380,"[2, 4, 5, 9, 10, 11, 17, 20, 21, 22, 23, 24, 26, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 42, 44, 45, 47, 48, 49, 52, 53, 54, 55, 57, 60, 61, 62, 63, 64, 65, 66, 67, 68, 70, 71, 72, 74, 75, 76, 77, 79, 82, 83, 84, 85, 87, 89, 90, 91, 94, 95, 96, 99, 100, 101]"
381,"[1, 4, 5, 6, 7, 8, 9, 11, 12, 13, 15, 16, 18, 19, 20, 22, 24, 25, 26, 27, 28, 30, 31, 33, 35, 39, 40, 41, 42, 45, 46, 48, 49, 52, 53, 54, 55, 57, 58, 60, 62, 63, 64, 65, 66, 67, 69, 70, 71, 74, 76, 79, 81, 82, 83, 84, 85, 88, 89, 91, 92, 93, 94, 95, 96, 98, 99, 100]"
382,"[2, 3, 4, 5, 7, 9, 13, 14, 15, 20, 22, 24, 26, 29, 30, 31, 32, 33, 34, 36, 37, 39, 40, 41, 42, 45, 46, 47, 48, 49, 50, 51, 54, 55, 57, 58, 59, 60, 63, 64, 65, 67, 68, 69, 71, 72, 73, 75, 77, 78, 79, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 94, 95, 96, 97, 98, 99, 100]"
383,"[1, 2, 4, 5, 6, 11, 12, 14, 15, 17, 18, 19, 20, 21, 24, 25, 27, 28, 30, 31, 32, 33, 34, 35, 36, 37, 39, 42, 43, 45, 47, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 66, 69, 70, 71, 72, 73, 74, 78, 79, 80, 81, 83, 84, 86, 87, 88, 89, 90, 91, 94, 95, 96, 97, 98, 100, 101]"
384,"[2, 3, 5, 6, 8, 10, 12, 14, 15, 16, 17, 18, 21, 23, 24, 26, 28, 29, 31, 32, 34, 35, 37, 40, 41, 42, 43, 45, 46, 51, 52, 53, 55, 57, 58, 59, 61, 62, 63, 64, 65, 66, 67, 69, 70, 71, 72, 73, 74, 76, 77, 78, 79, 80, 82, 83, 85, 86, 87, 89, 90, 91, 92, 96, 97, 98, 100]"
385,"[1, 3, 5, 6, 7, 8, 11, 13, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 30, 32, 33, 34, 35, 36, 37, 38, 40, 41, 42, 43, 45, 46, 48, 50, 51, 53, 54, 55, 56, 58, 59, 60, 61, 62, 64, 65, 66, 67, 68, 69, 70, 71, 73, 74, 75, 76, 77, 78, 82, 83, 85, 86, 88, 90, 91, 92, 94, 95, 96, 98]"
386,"[4, 5, 9, 10, 12, 13, 14, 15, 16, 17, 19, 21, 23, 25, 26, 29, 30, 31, 32, 36, 44, 47, 50, 51, 56, 58, 59, 60, 62, 64, 65, 67, 68, 69, 70, 71, 72, 73, 76, 78, 79, 80, 81, 82, 83, 85, 86, 87, 88, 90, 92, 93, 94, 95, 96, 97, 98, 99]"
387,"[3, 4, 5, 6, 9, 10, 12, 13, 14, 15, 16, 18, 19, 20, 21, 23, 24, 26, 27, 29, 30, 31, 33, 34, 35, 36, 39, 42, 44, 45, 46, 47, 49, 50, 51, 52, 53, 54, 55, 57, 58, 59, 60, 61, 63, 64, 65, 66, 67, 68, 69, 70, 71, 73, 74, 75, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 91, 92, 93, 94, 96, 97, 98, 99, 100]"
388,"[4, 6, 7, 9, 12, 13, 15, 17, 18, 20, 23, 24, 25, 28, 29, 31, 35, 37, 38, 44, 45, 49, 51, 53, 54, 55, 59, 61, 62, 63, 65, 66, 67, 70, 74, 75, 76, 77, 78, 79, 80, 81, 82, 84, 85, 87, 88, 89, 90, 91, 92, 93, 95, 97, 98, 100, 101]"
389,"[3, 4, 5, 7, 9, 12, 13, 14, 15, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 29, 31, 32, 33, 36, 37, 40, 41, 42, 44, 45, 51, 53, 55, 56, 57, 58, 60, 62, 64, 65, 66, 67, 68, 69, 71, 72, 73, 76, 77, 78, 80, 83, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 97, 99, 100, 101]"
390,"[2, 3, 4, 5, 6, 7, 8, 9, 11, 13, 15, 16, 17, 19, 22, 25, 26, 27, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 44, 46, 47, 48, 50, 51, 54, 55, 57, 58, 60, 61, 62, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 77, 78, 79, 80, 81, 83, 84, 86, 87, 89, 90, 91, 92, 94, 95, 96, 98, 99, 100, 101]"
391,"[2, 3, 4, 5, 6, 7, 9, 10, 11, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 57, 58, 59, 60, 61, 63, 64, 65, 66, 68, 69, 70, 71, 72, 73, 74, 75, 76, 78, 79, 80, 81, 83, 84, 85, 88, 90, 91, 92, 95, 96, 97, 98, 99, 101]"
392,"[1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 13, 14, 15, 18, 20, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 40, 42, 43, 44, 45, 46, 47, 48, 50, 51, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 79, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 94, 95, 96, 97, 99, 101]"
393,"[4, 9, 16, 17, 18, 19, 20, 21, 22, 26, 31, 32, 33, 39, 41, 42, 44, 47, 50, 51, 54, 56, 57, 68, 71, 72, 78, 79, 80, 81, 82, 83, 84, 85, 86, 88, 90, 91, 94, 99, 101]"
394,"[1, 2, 3, 4, 5, 6, 7, 10, 11, 14, 15, 18, 19, 21, 22, 23, 24, 26, 28, 29, 31, 32, 34, 37, 39, 41, 42, 45, 46, 49, 50, 51, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 69, 70, 71, 72, 73, 74, 75, 78, 80, 81, 83, 85, 86, 87, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 100, 101]"
395,"[5, 6, 7, 8, 10, 13, 14, 16, 17, 18, 19, 20, 22, 23, 24, 26, 27, 33, 39, 40, 41, 42, 43, 45, 48, 50, 53, 54, 55, 56, 57, 58, 62, 65, 69, 71, 72, 74, 75, 76, 77, 79, 80, 81, 82, 83, 84, 86, 88, 89, 90, 93, 95, 96, 99, 100, 101]"
396,"[5, 10, 12, 13, 16, 18, 19, 20, 21, 22, 23, 25, 26, 28, 29, 30, 32, 33, 34, 35, 39, 40, 41, 43, 44, 45, 48, 50, 51, 52, 53, 55, 60, 62, 64, 71, 73, 75, 79, 80, 81, 82, 83, 86, 87, 91, 94, 96, 98, 99, 100, 101]"
397,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 64, 65, 68, 69, 70, 71, 72, 73, 74, 76, 77, 78, 79, 80, 81, 83, 85, 86, 87, 88, 89, 90, 91, 93, 94, 97, 98, 99, 100]"
398,"[1, 4, 5, 6, 7, 9, 10, 12, 13, 16, 17, 20, 21, 23, 26, 29, 30, 31, 44, 45, 46, 50, 51, 54, 56, 57, 58, 60, 61, 62, 64, 65, 68, 69, 70, 71, 72, 74, 75, 76, 78, 79, 81, 82, 83, 87, 88, 89, 90, 92, 93, 94, 95, 96, 97, 99]"
399,"[1, 2, 3, 7, 11, 13, 15, 17, 18, 22, 24, 25, 26, 27, 28, 29, 30, 31, 33, 34, 36, 37, 41, 46, 47, 49, 51, 52, 53, 54, 55, 56, 57, 58, 59, 62, 66, 67, 68, 69, 71, 72, 73, 74, 77, 80, 81, 82, 83, 85, 86, 87, 89, 90, 91, 92, 93, 96, 98, 99, 101]"
400,"[1, 2, 3, 4, 8, 9, 10, 11, 12, 13, 14, 17, 20, 21, 23, 24, 25, 26, 27, 28, 30, 33, 34, 36, 37, 38, 39, 40, 41, 43, 44, 45, 47, 48, 50, 51, 52, 53, 54, 56, 59, 60, 61, 62, 63, 67, 68, 69, 70, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 85, 87, 88, 89, 90, 92, 94, 95, 96, 97, 98, 99]"
401,"[2, 9, 10, 12, 13, 18, 19, 21, 22, 26, 29, 30, 32, 35, 38, 40, 42, 45, 47, 49, 50, 51, 53, 54, 55, 56, 62, 65, 66, 68, 72, 73, 78, 79, 80, 83, 85, 87, 89, 94, 95, 96, 97, 98, 100, 101]"
402,"[2, 3, 4, 5, 6, 7, 10, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 63, 64, 65, 66, 68, 69, 70, 72, 73, 74, 75, 76, 77, 80, 81, 82, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97]"
403,"[1, 2, 3, 4, 6, 7, 8, 9, 11, 12, 14, 16, 17, 18, 19, 20, 23, 24, 25, 26, 27, 28, 30, 31, 33, 34, 35, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 51, 52, 54, 55, 56, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 71, 73, 75, 77, 78, 80, 81, 84, 85, 86, 88, 89, 90, 92, 93, 94, 96, 98, 99, 101]"
404,"[1, 2, 3, 4, 5, 6, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 27, 28, 29, 30, 31, 32, 33, 34, 35, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 51, 52, 54, 56, 58, 59, 62, 63, 64, 65, 69, 70, 71, 75, 76, 79, 81, 83, 85, 86, 87, 88, 91, 92, 93, 96, 97, 99, 100]"
405,"[1, 2, 3, 5, 6, 7, 8, 9, 11, 12, 13, 15, 16, 17, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 37, 40, 43, 45, 48, 51, 52, 53, 55, 56, 57, 58, 59, 60, 62, 63, 64, 65, 66, 68, 69, 70, 71, 72, 73, 74, 76, 77, 78, 79, 80, 82, 83, 84, 86, 87, 88, 89, 90, 91, 92, 93, 94, 97, 98, 99, 100]"
